skip,case_name,:water_heater_type,:water_heater_location,:water_heater_cap,:thermal_eff,:tank_size,:draw_pattern,:parasitic_power,:parasitic_fuel,:sch,:tank_ua
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.60 UEF-MD,gas,unconditioned,41000['BTUH'],0.751,30,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,6.7
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.59 EF,gas,unconditioned,41000['BTUH'],0.76,30,,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,8
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.64 UEF-MD,gas,unconditioned,41000['BTUH'],0.775,30,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,3.7
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.65 UEF-HI,gas,unconditioned,41000['BTUH'],0.751,30,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,6.4
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.68 UEF-HI,gas,unconditioned,41000['BTUH'],0.78,30,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,3.8
,RG-WaterHtg_eq-Stor_UEF-30 gal-0.78 UEF-HI,gas,unconditioned,41000['BTUH'],0.97,30,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,3.1
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.58 UEF-MD,gas,unconditioned,41000['BTUH'],0.758,40,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,8
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.60 EF,gas,unconditioned,41000['BTUH'],0.76,40,,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,7.96
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-MD,gas,unconditioned,41000['BTUH'],0.77,40,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,4.3
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.68 UEF-HI,gas,unconditioned,41000['BTUH'],0.772,40,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,4.1
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.78 UEF-HI,gas,unconditioned,41000['BTUH'],0.92,40,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,3.6
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.56 UEF-MD,gas,unconditioned,41000['BTUH'],0.738,50,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,7.4
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.59 EF,gas,unconditioned,41000['BTUH'],0.76,50,,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,9.14
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.64 UEF-MD,gas,unconditioned,41000['BTUH'],0.78,50,MD,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,5.1
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.63 UEF-HI,gas,unconditioned,41000['BTUH'],0.764,50,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,9.1
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.68 UEF-HI,gas,unconditioned,41000['BTUH'],0.786,50,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,4.8
,RG-WaterHtg_eq-Stor_UEF-50 gal-0.78 UEF-HI,gas,unconditioned,41000['BTUH'],0.89,50,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,3.9
,RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-HI,gas,unconditioned,41000['BTUH'],0.752,40,HI,350 ['BTUH'],NaturalGas,SFm_minute_dhw_demand_fraction.csv,7.2
