Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Asm,M1,cDXGF,Base,CZ01,16.715000000000003,337355132.8769328
Asm,M1,cDXGF,Base,CZ02,25.97041666666667,511630946.6207228
Asm,M1,cDXGF,Base,CZ03,24.965,477031113.5767175
Asm,M1,cDXGF,Base,CZ04,32.625416666666666,674684983.2393477
Asm,M1,cDXGF,Base,CZ05,22.50375,436616392.5754348
Asm,M1,cDXGF,Base,CZ06,25.29583333333333,504577360.01657367
Asm,M1,cDXGF,Base,CZ07,25.2725,559797567.3654659
Asm,M1,cDXGF,Base,CZ08,32.28541666666666,672607340.0628046
Asm,M1,cDXGF,Base,CZ09,35.456250000000004,747467555.4141383
Asm,M1,cDXGF,Base,CZ10,35.55666666666667,741416198.3584322
Asm,M1,cDXGF,Base,CZ11,36.25708333333334,790222030.895361
Asm,M1,cDXGF,Base,CZ12,33.139583333333334,684287445.049413
Asm,M1,cDXGF,Base,CZ13,37.3975,817268858.7971498
Asm,M1,cDXGF,Base,CZ14,33.69791666666667,741541127.3258566
Asm,M1,cDXGF,Base,CZ15,42.32083333333334,919761615.5281706
Asm,M1,cDXGF,Base,CZ16,25.15416666666667,567476126.59096
Asm,M1,cDXGF,Measure,CZ01,16.715000000000003,342812224.87117624
Asm,M1,cDXGF,Measure,CZ02,25.97041666666667,529153590.3175074
Asm,M1,cDXGF,Measure,CZ03,24.965,491160969.82909656
Asm,M1,cDXGF,Measure,CZ04,32.625416666666666,688507264.4717566
Asm,M1,cDXGF,Measure,CZ05,22.50375,450133995.7786967
Asm,M1,cDXGF,Measure,CZ06,25.29583333333333,512749695.0085189
Asm,M1,cDXGF,Measure,CZ07,25.2725,566056556.8232841
Asm,M1,cDXGF,Measure,CZ08,32.28541666666666,681634090.6642959
Asm,M1,cDXGF,Measure,CZ09,35.456250000000004,754911884.1643584
Asm,M1,cDXGF,Measure,CZ10,35.55666666666667,749929314.6370391
Asm,M1,cDXGF,Measure,CZ11,36.25708333333334,795191953.7434204
Asm,M1,cDXGF,Measure,CZ12,33.139583333333334,695335525.7183954
Asm,M1,cDXGF,Measure,CZ13,37.3975,820775930.4287539
Asm,M1,cDXGF,Measure,CZ14,33.69791666666667,744054661.0985677
Asm,M1,cDXGF,Measure,CZ15,42.32083333333334,919854067.385013
Asm,M1,cDXGF,Measure,CZ16,25.15416666666667,569519005.3693354
Asm,M1,cDXHP,Base,CZ01,16.715000000000003,344426618.8455821
Asm,M1,cDXHP,Base,CZ02,25.97041666666667,512092048.7993036
Asm,M1,cDXHP,Base,CZ03,24.965,479096547.0285542
Asm,M1,cDXHP,Base,CZ04,32.625416666666666,675557355.5878751
Asm,M1,cDXHP,Base,CZ05,22.50375,440490072.8882338
Asm,M1,cDXHP,Base,CZ06,25.29583333333333,507657749.7543243
Asm,M1,cDXHP,Base,CZ07,25.2725,549651456.7277818
Asm,M1,cDXHP,Base,CZ08,32.28541666666666,675556701.8564376
Asm,M1,cDXHP,Base,CZ09,35.456250000000004,749939445.2348819
Asm,M1,cDXHP,Base,CZ10,35.55666666666667,741490945.2021227
Asm,M1,cDXHP,Base,CZ11,36.25708333333334,790407521.2523992
Asm,M1,cDXHP,Base,CZ12,33.139583333333334,685057932.6551833
Asm,M1,cDXHP,Base,CZ13,37.3975,817649914.0188217
Asm,M1,cDXHP,Base,CZ14,33.69791666666667,741848388.0005774
Asm,M1,cDXHP,Base,CZ15,42.32083333333334,919761615.5281692
Asm,M1,cDXHP,Base,CZ16,25.15416666666667,572800540.7424743
Asm,M1,cDXHP,Measure,CZ01,16.715000000000003,346407872.7699112
Asm,M1,cDXHP,Measure,CZ02,25.97041666666667,529542295.99280566
Asm,M1,cDXHP,Measure,CZ03,24.965,492580274.012248
Asm,M1,cDXHP,Measure,CZ04,32.625416666666666,689433017.8307989
Asm,M1,cDXHP,Measure,CZ05,22.50375,452970695.5989076
Asm,M1,cDXHP,Measure,CZ06,25.29583333333333,515959303.64302313
Asm,M1,cDXHP,Measure,CZ07,25.2725,555986325.0976044
Asm,M1,cDXHP,Measure,CZ08,32.28541666666666,684784611.2710359
Asm,M1,cDXHP,Measure,CZ09,35.456250000000004,757406854.702994
Asm,M1,cDXHP,Measure,CZ10,35.55666666666667,750006932.5311893
Asm,M1,cDXHP,Measure,CZ11,36.25708333333334,795378610.1228495
Asm,M1,cDXHP,Measure,CZ12,33.139583333333334,696127732.5364721
Asm,M1,cDXHP,Measure,CZ13,37.3975,821157998.0561063
Asm,M1,cDXHP,Measure,CZ14,33.69791666666667,744359493.4454715
Asm,M1,cDXHP,Measure,CZ15,42.32083333333334,919854067.385014
Asm,M1,cDXHP,Measure,CZ16,25.15416666666667,574969792.6403028
Asm,M1,cPTAC,Base,CZ01,16.715000000000003,336067209.32337177
Asm,M1,cPTAC,Base,CZ02,25.97041666666667,510807756.9560114
Asm,M1,cPTAC,Base,CZ03,24.965,476371059.7492196
Asm,M1,cPTAC,Base,CZ04,32.625416666666666,674593939.6464093
Asm,M1,cPTAC,Base,CZ05,22.50375,435076506.530438
Asm,M1,cPTAC,Base,CZ06,25.29583333333333,504577341.10040486
Asm,M1,cPTAC,Base,CZ07,25.2725,559797567.364406
Asm,M1,cPTAC,Base,CZ08,32.28541666666666,672606591.782295
Asm,M1,cPTAC,Base,CZ09,35.456250000000004,747410683.3166804
Asm,M1,cPTAC,Base,CZ10,35.55666666666667,741382129.6933782
Asm,M1,cPTAC,Base,CZ11,36.25708333333334,790222030.8928106
Asm,M1,cPTAC,Base,CZ12,33.139583333333334,684286728.3344632
Asm,M1,cPTAC,Base,CZ13,37.3975,817268858.7970037
Asm,M1,cPTAC,Base,CZ14,33.69791666666667,741541153.9319658
Asm,M1,cPTAC,Base,CZ15,42.32083333333334,919761073.3568424
Asm,M1,cPTAC,Base,CZ16,25.15416666666667,567476132.669687
Asm,M1,cPTAC,Measure,CZ01,16.715000000000003,341166808.50152194
Asm,M1,cPTAC,Measure,CZ02,25.97041666666667,528941145.9584286
Asm,M1,cPTAC,Measure,CZ03,24.965,490903078.8397255
Asm,M1,cPTAC,Measure,CZ04,32.625416666666666,688498758.1906894
Asm,M1,cPTAC,Measure,CZ05,22.50375,449057561.8910413
Asm,M1,cPTAC,Measure,CZ06,25.29583333333333,512749695.00852185
Asm,M1,cPTAC,Measure,CZ07,25.2725,566056556.8232785
Asm,M1,cPTAC,Measure,CZ08,32.28541666666666,681634090.6642755
Asm,M1,cPTAC,Measure,CZ09,35.456250000000004,754902396.9451523
Asm,M1,cPTAC,Measure,CZ10,35.55666666666667,749928840.2635423
Asm,M1,cPTAC,Measure,CZ11,36.25708333333334,795191953.7398434
Asm,M1,cPTAC,Measure,CZ12,33.139583333333334,695335522.499085
Asm,M1,cPTAC,Measure,CZ13,37.3975,820775930.4286941
Asm,M1,cPTAC,Measure,CZ14,33.69791666666667,744054685.7442561
Asm,M1,cPTAC,Measure,CZ15,42.32083333333334,919854067.3850126
Asm,M1,cPTAC,Measure,CZ16,25.15416666666667,569519004.1168642
Asm,M1,cPVVG,Base,CZ01,16.715000000000003,275382743.76298195
Asm,M1,cPVVG,Base,CZ02,25.97041666666667,451500481.3482446
Asm,M1,cPVVG,Base,CZ03,24.965,424868149.3632408
Asm,M1,cPVVG,Base,CZ04,32.625416666666666,624099469.3740771
Asm,M1,cPVVG,Base,CZ05,22.50375,377481834.75969785
Asm,M1,cPVVG,Base,CZ06,25.29583333333333,448574090.51239634
Asm,M1,cPVVG,Base,CZ07,25.2725,501807888.1489329
Asm,M1,cPVVG,Base,CZ08,32.28541666666666,631870043.3416224
Asm,M1,cPVVG,Base,CZ09,35.456250000000004,712283749.3365258
Asm,M1,cPVVG,Base,CZ10,35.55666666666667,705894858.7822022
Asm,M1,cPVVG,Base,CZ11,36.25708333333334,757609368.564992
Asm,M1,cPVVG,Base,CZ12,33.139583333333334,642161117.274366
Asm,M1,cPVVG,Base,CZ13,37.3975,791853862.0630285
Asm,M1,cPVVG,Base,CZ14,33.69791666666667,696078509.1080449
Asm,M1,cPVVG,Base,CZ15,42.32083333333334,910291930.0406102
Asm,M1,cPVVG,Base,CZ16,25.15416666666667,497644577.70031625
Asm,M1,cPVVG,Measure,CZ01,16.715000000000003,283548652.837389
Asm,M1,cPVVG,Measure,CZ02,25.97041666666667,476544109.9325975
Asm,M1,cPVVG,Measure,CZ03,24.965,445580098.1432115
Asm,M1,cPVVG,Measure,CZ04,32.625416666666666,645533030.8184973
Asm,M1,cPVVG,Measure,CZ05,22.50375,396865789.50092536
Asm,M1,cPVVG,Measure,CZ06,25.29583333333333,462291864.7650687
Asm,M1,cPVVG,Measure,CZ07,25.2725,513768691.7956133
Asm,M1,cPVVG,Measure,CZ08,32.28541666666666,646758996.9043391
Asm,M1,cPVVG,Measure,CZ09,35.456250000000004,724628605.2637701
Asm,M1,cPVVG,Measure,CZ10,35.55666666666667,719831743.8473625
Asm,M1,cPVVG,Measure,CZ11,36.25708333333334,766682982.5111872
Asm,M1,cPVVG,Measure,CZ12,33.139583333333334,659594265.5683365
Asm,M1,cPVVG,Measure,CZ13,37.3975,798299016.4758825
Asm,M1,cPVVG,Measure,CZ14,33.69791666666667,701835976.7938719
Asm,M1,cPVVG,Measure,CZ15,42.32083333333334,910411834.8134768
Asm,M1,cPVVG,Measure,CZ16,25.15416666666667,504613433.6150429
