skip,case_name,sizing_case,:heat_sizing_factor,:cool_sizing_factor,:hvac_config,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:chw_chiller_cop,:chw_chiller_model,:chw_pump_type,:hw_boiler_eff
,NE-dxAC_equip-pkgTerm-EER-9.41-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.19,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-8.56-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,2.9,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-7.71-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,2.62,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-11.9-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.03,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-10.70-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.63,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-9.5-Std,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.22,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-11.29-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.82,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-10.27-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.48,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-9.25-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.14,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-14.28-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.83,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-12.84-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.35,CONSTANT,,,CONSTANT,0.87,,,1,,,,
,NE-dxAC_equip-pkgTerm-EER-11.40-Msr,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.87,CONSTANT,,,CONSTANT,0.87,,,1,,,,
